timestamp,device,voltage,current,power_watts,consumption_kwh
2025-01-01 00:00:00,Computer,222.13,18.9,4198.26,4.2
2025-01-01 00:01:00,Microwave,152.06,11.67,1774.54,1.77
2025-01-01 00:02:00,Air Conditioner,142.98,4.07,581.93,0.58
2025-01-01 00:03:00,Computer,237.24,11.97,2839.76,2.84
2025-01-01 00:04:00,Heater,222.88,8.62,1921.23,1.92
2025-01-01 00:05:00,Computer,216.99,15.84,3437.12,3.44
2025-01-01 00:06:00,Air Conditioner,142.17,11.03,1568.14,1.57
2025-01-01 00:07:00,Refrigerator,178.51,28.39,5067.9,5.07
2025-01-01 00:08:00,Computer,135.14,19.34,2613.61,2.61
2025-01-01 00:09:00,Microwave,209.03,13.62,2846.99,2.85
2025-01-01 00:10:00,Heater,145.26,28.27,4106.5,4.11
2025-01-01 00:11:00,Fan,220.77,19.04,4203.46,4.2
2025-01-01 00:12:00,Refrigerator,196.85,7.23,1423.23,1.42
2025-01-01 00:13:00,Television,114.18,17.93,2047.25,2.05
2025-01-01 00:14:00,Computer,207.54,25.18,5225.86,5.23
2025-01-01 00:15:00,Washing Machina,228.89,4.23,968.2,0.97
2025-01-01 00:16:00,Air Conditioner,178.03,20.95,3729.73,3.73
2025-01-01 00:17:00,Microwave,232.61,7.24,1684.1,1.68
2025-01-01 00:18:00,Microwave,126.02,20.32,2560.73,2.56
2025-01-01 00:19:00,Fan,202.27,21.92,4433.76,4.43
2025-01-01 00:20:00,Microwave,197.68,5.91,1168.29,1.17
2025-01-01 00:21:00,Refrigerator,174.6,25.8,4504.68,4.5
2025-01-01 00:22:00,Washing Machina,186.61,0.76,141.82,0.14
2025-01-01 00:23:00,Computer,152.64,24.11,3680.15,3.68
2025-01-01 00:24:00,Heater,179.92,14.9,2680.81,2.68
2025-01-01 00:25:00,Microwave,206.16,28.02,5776.6,5.78
2025-01-01 00:26:00,Microwave,207.78,17.07,3546.8,3.55
2025-01-01 00:27:00,Refrigerator,151.81,12.68,1924.95,1.92
2025-01-01 00:28:00,Microwave,207.61,0.87,180.62,0.18
2025-01-01 00:29:00,Heater,180.7,20.73,3745.91,3.75
2025-01-01 00:30:00,Heater,185.16,8.04,1488.69,1.49
2025-01-01 00:31:00,Fan,207.9,11.23,2334.72,2.33
2025-01-01 00:32:00,Computer,163.67,20.77,3399.43,3.4
2025-01-01 00:33:00,Television,204.09,2.31,471.45,0.47
2025-01-01 00:34:00,Air Conditioner,228.5,20.29,4636.26,4.64
2025-01-01 00:35:00,Washing Machina,130.55,25.98,3391.69,3.39
2025-01-01 00:36:00,Refrigerator,206.04,18.78,3869.43,3.87
2025-01-01 00:37:00,Microwave,195.81,7.89,1544.94,1.54
2025-01-01 00:38:00,Computer,217.57,26.19,5698.16,5.7
2025-01-01 00:39:00,Heater,173.59,10.53,1827.9,1.83
2025-01-01 00:40:00,Television,134.63,1.28,172.33,0.17
2025-01-01 00:41:00,Air Conditioner,203.58,27.24,5545.52,5.55
2025-01-01 00:42:00,Computer,122.41,5.23,640.2,0.64
2025-01-01 00:43:00,Fan,223.77,25.27,5654.67,5.65
2025-01-01 00:44:00,Refrigerator,194.67,17.74,3453.45,3.45
2025-01-01 00:45:00,Microwave,234.61,22.79,5346.76,5.35
2025-01-01 00:46:00,Heater,186.41,7.7,1435.36,1.44
2025-01-01 00:47:00,Television,224.64,2.54,570.59,0.57
2025-01-01 00:48:00,Refrigerator,146.83,14.44,2120.23,2.12
2025-01-01 00:49:00,Air Conditioner,230.36,1.07,246.49,0.25
2025-01-01 00:50:00,Heater,188.23,17.54,3301.55,3.3
2025-01-01 00:51:00,Computer,216.33,25.93,5609.44,5.61
2025-01-01 00:52:00,Fan,174.33,3.61,629.33,0.63
2025-01-01 00:53:00,Refrigerator,139.35,11.82,1647.12,1.65
2025-01-01 00:54:00,Heater,223.23,2.43,542.45,0.54
2025-01-01 00:55:00,Fan,168.96,6.63,1120.2,1.12
2025-01-01 00:56:00,Television,156.94,4.45,698.38,0.7
2025-01-01 00:57:00,Computer,123.16,7.75,954.49,0.95
2025-01-01 00:58:00,Air Conditioner,139.19,22.8,3173.53,3.17
2025-01-01 00:59:00,Television,219.22,23.5,5151.67,5.15
2025-01-01 01:00:00,Fan,131.52,12.45,1637.42,1.64
2025-01-01 01:01:00,Television,118.28,10.81,1278.61,1.28
2025-01-01 01:02:00,Refrigerator,183.2,11.79,2159.93,2.16
2025-01-01 01:03:00,Refrigerator,144.28,15.65,2257.98,2.26
2025-01-01 01:04:00,Heater,156.73,5.72,896.5,0.9
2025-01-01 01:05:00,Air Conditioner,234.31,5.61,1314.48,1.31
2025-01-01 01:06:00,Computer,135.52,17.7,2398.7,2.4
2025-01-01 01:07:00,Washing Machina,147.85,20.6,3045.71,3.05
2025-01-01 01:08:00,Washing Machina,156.11,15.21,2374.43,2.37
2025-01-01 01:09:00,Air Conditioner,166.48,5.19,864.03,0.86
2025-01-01 01:10:00,Heater,192.88,10.53,2031.03,2.03
2025-01-01 01:11:00,Television,189.17,19.73,3732.32,3.73
2025-01-01 01:12:00,Television,195.53,12.06,2358.09,2.36
2025-01-01 01:13:00,Air Conditioner,126.32,28.4,3587.49,3.59
2025-01-01 01:14:00,Microwave,124.11,23.53,2920.31,2.92
2025-01-01 01:15:00,Air Conditioner,165.31,12.76,2109.36,2.11
2025-01-01 01:16:00,Air Conditioner,202.57,29.46,5967.71,5.97
2025-01-01 01:17:00,Air Conditioner,231.81,1.86,431.17,0.43
2025-01-01 01:18:00,Television,155.77,10.31,1605.99,1.61
2025-01-01 01:19:00,Air Conditioner,224.92,20.19,4541.13,4.54
2025-01-01 01:20:00,Air Conditioner,140.65,2.23,313.65,0.31
2025-01-01 01:21:00,Computer,151.68,23.32,3537.18,3.54
2025-01-01 01:22:00,Microwave,157.3,9.88,1554.12,1.55
2025-01-01 01:23:00,Computer,185.21,13.94,2581.83,2.58
2025-01-01 01:24:00,Washing Machina,197.51,1.96,387.12,0.39
2025-01-01 01:25:00,Computer,223.24,22.19,4953.7,4.95
2025-01-01 01:26:00,Air Conditioner,160.88,26.61,4281.02,4.28
2025-01-01 01:27:00,Computer,181.27,4.07,737.77,0.74
2025-01-01 01:28:00,Microwave,149.16,9.23,1376.75,1.38
2025-01-01 01:29:00,Refrigerator,224.76,11.56,2598.23,2.6
2025-01-01 01:30:00,Refrigerator,189.73,19.97,3788.91,3.79
2025-01-01 01:31:00,Computer,163.63,1.71,279.81,0.28
2025-01-01 01:32:00,Heater,158.38,27.43,4344.36,4.34
2025-01-01 01:33:00,Heater,171.78,5.51,946.51,0.95
2025-01-01 01:34:00,Refrigerator,205.23,23.2,4761.34,4.76
2025-01-01 01:35:00,Fan,120.29,3.23,388.54,0.39
2025-01-01 01:36:00,Air Conditioner,162.2,22.28,3613.82,3.61
2025-01-01 01:37:00,Fan,177.7,13.87,2464.7,2.46
2025-01-01 01:38:00,Air Conditioner,155.85,6.5,1013.02,1.01
2025-01-01 01:39:00,Television,237.02,24.77,5870.99,5.87
2025-01-01 01:40:00,Heater,167.07,23.28,3889.39,3.89
2025-01-01 01:41:00,Television,151.4,14.7,2225.58,2.23
2025-01-01 01:42:00,Microwave,195.85,26.65,5219.4,5.22
